vertex,name,kc,maxl,cpu,ram,bw,(posx),(posy)
0,1,2,3,30,500,500,0,0
2,2,2,3,20,500,300,125,166
3,3,1,2,0,0,200,375,111
5,4,1,4,0,0,200,312,277
6,5,1,4,0,0,200,187,55
7,6,1,4,0,0,200,437,388
8,7,2,3,20,500,300,31,222
10,8,1,2,0,0,200,156,370
11,9,2,3,20,500,300,406,703
13,10,2,3,30,500,500,343,981
14,11,1,4,0,0,200,218,814
15,12,1,4,0,0,200,468,592
17,13,1,2,0,0,200,265,759
18,14,1,2,0,0,200,140,518
19,15,1,2,0,0,200,390,851
21,16,2,3,20,500,300,328,629
22,17,1,4,0,0,200,203,1462
23,18,1,4,0,0,200,453,1296
26,19,2,3,30,500,500,171,1240
27,20,2,3,20,500,300,421,1012
29,21,1,2,0,0,200,359,1179
30,22,1,2,0,0,200,234,1123
31,23,1,2,0,0,200,484,1456
32,24,2,3,30,500,500,7,1290
33,25,2,3,30,500,500,257,1567
35,26,2,3,30,500,500,382,1734
36,27,1,4,0,0,200,70,1549
37,28,1,2,0,0,200,320,1882
38,29,2,3,20,500,300,195,1716
40,30,2,3,30,500,500,39,1993
42,31,1,2,0,0,200,164,1604
43,32,1,2,0,0,200,414,1938
44,33,2,3,30,500,500,101,2271
46,34,2,3,30,500,500,226,2364
47,35,2,3,20,500,300,476,2197
48,36,1,2,0,0,200,23,2141
49,37,1,2,0,0,200,273,2475
50,38,2,3,30,500,500,148,2308
51,39,2,3,20,500,300,398,2086
52,40,2,3,20,500,300,85,2419
56,41,1,2,0,0,200,554,172
57,42,2,3,30,500,500,804,117
58,43,1,2,0,0,200,679,450
59,44,2,3,30,500,500,929,283
60,45,1,2,0,0,200,617,61
61,46,2,3,30,500,500,867,395
64,47,1,2,0,0,200,503,376
65,48,2,3,20,500,300,753,209
66,49,1,4,0,0,200,628,654
70,50,2,3,30,500,500,691,932
71,51,1,4,0,0,200,941,765
72,52,2,3,30,500,500,535,524
73,53,1,4,0,0,200,785,858
74,54,2,3,20,500,300,660,691
75,55,1,4,0,0,200,910,635
76,56,1,2,0,0,200,597,969
77,57,1,4,0,0,200,847,1302
78,58,1,4,0,0,200,722,1080
80,59,2,3,30,500,500,519,1246
81,60,2,3,20,500,300,769,1004
83,61,1,4,0,0,200,894,1170
85,62,2,3,30,500,500,832,1448
86,63,2,3,30,500,500,707,1281
87,64,1,2,0,0,200,957,1059
89,65,2,3,20,500,300,800,1726
91,66,2,3,30,500,500,925,1874
92,67,1,2,0,0,200,613,1707
93,68,1,2,0,0,200,863,1652
94,69,1,2,0,0,200,738,1985
95,70,1,2,0,0,200,988,1818
97,71,2,3,20,500,300,761,1930
98,72,2,3,20,500,300,636,1763
99,73,2,3,30,500,500,886,2022
100,74,2,3,20,500,300,574,2355
102,75,1,2,0,0,200,699,2133
103,76,2,3,30,500,500,949,2467
104,77,2,3,30,500,500,542,2300
106,78,2,3,20,500,300,667,2411
108,79,1,4,0,0,200,605,2016
109,80,1,2,0,0,200,855,2349
110,81,1,4,0,0,200,1230,183
111,82,1,4,0,0,200,1480,127
112,83,1,2,0,0,200,1027,460
113,84,2,3,20,500,300,1277,294
114,85,1,2,0,0,200,1152,72
115,86,1,2,0,0,200,1402,405
116,87,2,3,30,500,500,1089,238
120,88,1,2,0,0,200,1058,164
121,89,1,4,0,0,200,1308,997
122,90,1,2,0,0,200,1183,831
123,91,2,3,30,500,500,1433,609
126,92,1,2,0,0,200,1246,534
128,93,2,3,20,500,300,1001,701
129,94,2,3,20,500,300,1251,646
130,95,2,3,30,500,500,1126,979
131,96,1,2,0,0,200,1376,812
133,97,2,3,20,500,300,1314,1423
135,98,2,3,20,500,300,1439,1010
136,99,2,3,20,500,300,1033,1343
137,100,2,3,20,500,300,1283,1176
138,101,2,3,20,500,300,1158,1121
139,102,1,4,0,0,200,1408,1454
140,103,2,3,20,500,300,1095,1288
141,104,1,4,0,0,200,1345,1065
143,105,2,3,30,500,500,1470,1732
144,106,2,3,20,500,300,1017,1547
145,107,1,4,0,0,200,1267,1880
146,108,1,4,0,0,200,1142,1713
148,109,1,2,0,0,200,1080,1991
149,110,1,2,0,0,200,1330,1825
150,111,2,3,30,500,500,1205,1602
152,112,2,3,30,500,500,1048,1769
154,113,2,3,30,500,500,1173,2362
155,114,2,3,20,500,300,1423,2195
158,115,2,3,20,500,300,1236,2306
159,116,1,2,0,0,200,1486,2084
160,117,1,2,0,0,200,1009,2417
161,118,1,2,0,0,200,1259,2251
163,119,2,3,20,500,300,1384,2335
164,120,2,3,30,500,500,1072,2168
165,121,2,3,20,500,300,1822,113
166,122,1,2,0,0,200,1697,446
169,123,2,3,20,500,300,1791,390
170,124,1,2,0,0,200,1666,224
171,125,1,4,0,0,200,1916,39
172,126,2,3,20,500,300,1603,372
174,127,2,3,20,500,300,1728,150
175,128,1,4,0,0,200,1978,483
176,129,1,2,0,0,200,1525,816
178,130,1,2,0,0,200,1650,927
179,131,2,3,20,500,300,1900,761
181,132,2,3,30,500,500,1837,853
182,133,1,4,0,0,200,1712,687
184,134,1,4,0,0,200,1556,965
185,135,2,3,20,500,300,1806,798
186,136,2,3,30,500,500,1681,576
189,137,2,3,30,500,500,1869,1014
190,138,2,3,30,500,500,1744,1347
192,139,1,2,0,0,200,1505,1125
193,140,1,4,0,0,200,1755,1458
194,141,2,3,30,500,500,1630,1292
195,142,1,4,0,0,200,1880,1069
196,143,1,2,0,0,200,1568,1403
197,144,1,2,0,0,200,1818,1236
198,145,1,2,0,0,200,1693,1551
199,146,2,3,20,500,300,1943,1884
200,147,1,4,0,0,200,1537,1718
204,148,1,2,0,0,200,1599,1606
205,149,1,4,0,0,200,1849,1940
206,150,2,3,30,500,500,1724,1773
207,151,2,3,30,500,500,1974,1532
208,152,1,2,0,0,200,1521,1866
209,153,2,3,20,500,300,1771,2199
212,154,2,3,20,500,300,1583,2310
213,155,1,2,0,0,200,1833,2088
214,156,2,3,20,500,300,1708,2421
215,157,1,4,0,0,200,1958,2255
216,158,2,3,30,500,500,1552,2008
217,159,2,3,20,500,300,1802,2341
218,160,1,2,0,0,200,1677,2174
221,161,2,3,20,500,300,2365,286
222,162,2,3,30,500,500,2240,63
223,163,1,2,0,0,200,2490,397
224,164,2,3,30,500,500,2013,230
226,165,1,2,0,0,200,2138,378
227,166,2,3,30,500,500,2388,211
229,167,2,3,20,500,300,2326,489
230,168,2,3,20,500,300,2201,323
232,169,1,2,0,0,200,2044,934
233,170,2,3,30,500,500,2294,767
234,171,2,3,30,500,500,2169,526
235,172,1,2,0,0,200,2419,860
236,173,1,4,0,0,200,2107,693
237,174,2,3,30,500,500,2357,637
238,175,2,3,20,500,300,2232,971
239,176,1,4,0,0,200,2482,804
243,177,1,4,0,0,200,2404,1001
244,178,2,3,30,500,500,2091,1334
245,179,1,2,0,0,200,2341,1168
246,180,1,2,0,0,200,2216,1112
247,181,1,2,0,0,200,2466,1445
248,182,1,4,0,0,200,2060,1279
249,183,1,2,0,0,200,2310,1056
252,184,1,4,0,0,200,2123,1038
254,185,1,2,0,0,200,2248,1705
255,186,2,3,20,500,300,2498,1649
256,187,1,4,0,0,200,2000,1982
257,188,2,3,30,500,500,2250,1816
258,189,2,3,30,500,500,2125,1593
260,190,1,2,0,0,200,2063,1760
261,191,2,3,30,500,500,2313,1519
262,192,2,3,20,500,300,2188,1853
264,193,2,3,30,500,500,2032,2131
266,194,2,3,20,500,300,2157,2297
267,195,2,3,30,500,500,2407,2075
269,196,1,4,0,0,200,2344,2242
270,197,1,4,0,0,200,2219,2013
271,198,2,3,20,500,300,2469,2347
272,199,1,4,0,0,200,2016,2180
274,200,1,2,0,0,200,2141,2458
