start,end,weight
0,2,1
0,6,1
0,8,1
1,2,1
1,4,1
1,5,1
1,7,1
1,8,1
1,10,1
1,18,1
2,5,1
2,6,1
2,8,1
2,9,1
2,10,1
3,5,1
3,6,1
3,9,1
3,56,1
3,60,1
4,8,1
4,10,1
4,12,1
4,18,1
4,20,1
5,7,1
5,9,1
5,10,1
5,64,1
6,8,1
6,9,1
7,15,1
7,56,1
7,58,1
7,64,1
7,72,1
8,10,1
10,18,1
11,14,1
11,15,1
11,17,1
11,19,1
11,21,1
11,66,1
11,68,1
11,72,1
12,14,1
12,17,1
12,18,1
12,20,1
12,21,1
13,14,1
13,17,1
13,19,1
13,27,1
13,29,1
13,30,1
14,16,1
14,17,1
14,19,1
14,20,1
14,21,1
15,21,1
15,64,1
15,66,1
15,68,1
15,72,1
15,74,1
16,20,1
16,24,1
17,19,1
17,20,1
17,21,1
18,20,1
18,21,1
19,21,1
19,27,1
19,68,1
19,76,1
21,72,1
22,25,1
22,26,1
22,28,1
22,33,1
22,36,1
22,42,1
23,25,1
23,29,1
23,31,1
23,80,1
23,82,1
23,84,1
24,26,1
24,30,1
24,32,1
25,26,1
25,28,1
25,29,1
25,31,1
25,33,1
25,42,1
26,28,1
26,29,1
26,30,1
26,32,1
27,29,1
27,30,1
27,68,1
27,76,1
27,84,1
28,32,1
28,36,1
29,30,1
29,80,1
29,84,1
31,39,1
31,80,1
31,82,1
31,90,1
31,96,1
33,35,1
33,36,1
33,38,1
33,39,1
33,42,1
34,37,1
34,38,1
34,40,1
34,41,1
34,54,1
35,37,1
35,38,1
35,39,1
35,41,1
35,43,1
35,88,1
35,92,1
35,96,1
36,38,1
36,42,1
37,38,1
37,41,1
37,43,1
37,45,1
37,51,1
37,54,1
37,88,1
38,41,1
38,42,1
39,41,1
39,92,1
39,96,1
39,98,1
40,48,1
40,54,1
41,43,1
41,45,1
41,54,1
43,45,1
43,51,1
43,54,1
43,88,1
43,108,1
44,46,1
44,48,1
44,50,1
44,52,1
44,53,1
45,47,1
45,51,1
45,53,1
45,54,1
45,88,1
46,49,1
46,50,1
46,52,1
46,53,1
47,51,1
47,53,1
47,100,1
47,102,1
47,104,1
47,108,1
48,50,1
48,54,1
49,50,1
