vertex,name,kc,maxl,cpu,ram,bw,(posx),(posy)
1,1,1,2,0,0,200,250,333
2,2,2,3,30,500,500,125,166
3,3,1,2,0,0,200,375,111
4,4,2,3,20,500,300,62,444
6,5,2,3,20,500,300,187,55
7,6,1,2,0,0,200,437,388
8,7,1,4,0,0,200,31,722
9,8,1,2,0,0,200,281,537
11,9,1,4,0,0,200,406,703
13,10,2,3,30,500,500,343,981
14,11,2,3,20,500,300,218,814
15,12,1,4,0,0,200,468,592
16,13,1,4,0,0,200,15,1425
17,14,1,2,0,0,200,265,1259
18,15,1,4,0,0,200,140,1018
19,16,2,3,20,500,300,390,1351
21,17,2,3,20,500,300,328,1129
22,18,1,2,0,0,200,203,1462
24,19,2,3,20,500,300,46,1574
25,20,2,3,20,500,300,296,1907
26,21,1,4,0,0,200,171,1740
27,22,1,2,0,0,200,421,1512
29,23,2,3,20,500,300,359,1679
31,24,2,3,20,500,300,484,1956
33,25,1,4,0,0,200,257,2067
34,26,2,3,30,500,500,132,2401
36,27,2,3,20,500,300,70,2049
37,28,1,2,0,0,200,320,2382
38,29,1,4,0,0,200,195,2216
39,30,1,4,0,0,200,445,2160
40,31,1,4,0,0,200,539,493
43,32,2,3,20,500,300,914,438
44,33,1,2,0,0,200,601,271
45,34,2,3,20,500,300,851,30
46,35,2,3,30,500,500,726,364
47,36,1,4,0,0,200,976,197
48,37,1,4,0,0,200,523,641
50,38,1,2,0,0,200,648,808
51,39,1,2,0,0,200,898,586
52,40,1,2,0,0,200,585,919
53,41,2,3,20,500,300,835,753
54,42,1,4,0,0,200,710,506
56,43,1,4,0,0,200,554,1172
57,44,2,3,30,500,500,804,1117
59,45,2,3,20,500,300,929,1283
61,46,1,2,0,0,200,867,1395
62,47,1,2,0,0,200,742,1228
63,48,1,2,0,0,200,992,1043
65,49,2,3,30,500,500,753,1709
66,50,2,3,30,500,500,628,1654
67,51,2,3,30,500,500,878,1987
68,52,1,4,0,0,200,566,1820
70,53,1,2,0,0,200,691,1932
71,54,2,3,20,500,300,941,1765
72,55,2,3,30,500,500,535,2024
73,56,1,2,0,0,200,785,2358
74,57,1,2,0,0,200,660,2191
75,58,2,3,30,500,500,910,2135
77,59,2,3,30,500,500,847,2302
79,60,2,3,20,500,300,972,2413
80,61,1,2,0,0,200,1019,246
81,62,1,2,0,0,200,1269,4
82,63,2,3,30,500,500,1144,337
84,64,2,3,20,500,300,1082,115
86,65,2,3,20,500,300,1207,281
87,66,1,2,0,0,200,1457,59
89,67,2,3,30,500,500,1300,726
90,68,1,2,0,0,200,1175,541
91,69,2,3,30,500,500,1425,874
92,70,1,2,0,0,200,1113,707
93,71,2,3,30,500,500,1363,652
94,72,1,2,0,0,200,1238,985
96,73,2,3,20,500,300,1011,1096
97,74,1,4,0,0,200,1261,1430
99,75,2,3,30,500,500,1386,1022
101,76,1,4,0,0,200,1324,1189
102,77,2,3,30,500,500,1199,1133
103,78,1,4,0,0,200,1449,1467
106,79,2,3,20,500,300,1167,1911
107,80,1,4,0,0,200,1417,1744
108,81,1,2,0,0,200,1105,1516
109,82,1,4,0,0,200,1355,1849
110,83,1,4,0,0,200,1230,1683
111,84,2,3,30,500,500,1480,1627
112,85,2,3,20,500,300,1027,2460
113,86,1,4,0,0,200,1277,2294
114,87,2,3,30,500,500,1152,2072
116,88,2,3,30,500,500,1089,2238
117,89,1,2,0,0,200,1339,2053
118,90,2,3,20,500,300,1214,2386
121,91,2,3,30,500,500,1808,497
122,92,1,2,0,0,200,1683,331
123,93,1,2,0,0,200,1933,109
124,94,1,2,0,0,200,1621,442
125,95,1,2,0,0,200,1871,275
126,96,2,3,20,500,300,1746,34
128,97,2,3,20,500,300,1501,701
130,98,2,3,30,500,500,1626,979
131,99,2,3,20,500,300,1876,812
132,100,1,2,0,0,200,1564,590
133,101,2,3,30,500,500,1814,923
135,102,2,3,30,500,500,1939,510
136,103,2,3,20,500,300,1533,1343
137,104,1,4,0,0,200,1783,1176
138,105,1,2,0,0,200,1658,1121
139,106,1,4,0,0,200,1908,1454
141,107,1,4,0,0,200,1845,1065
142,108,1,2,0,0,200,1720,1399
144,109,2,3,20,500,300,1517,1547
145,110,1,2,0,0,200,1767,1880
147,111,1,2,0,0,200,1892,1658
148,112,2,3,30,500,500,1580,1991
149,113,1,2,0,0,200,1830,1825
150,114,1,4,0,0,200,1705,1602
152,115,1,2,0,0,200,1548,2269
153,116,2,3,30,500,500,1798,2028
154,117,1,2,0,0,200,1673,2362
155,118,2,3,20,500,300,1923,2195
156,119,2,3,20,500,300,1611,2139
157,120,2,3,30,500,500,1861,2473
160,121,1,2,0,0,200,2009,417
162,122,2,3,20,500,300,2134,2
163,123,2,3,20,500,300,2384,335
164,124,2,3,20,500,300,2072,168
165,125,2,3,20,500,300,2322,113
166,126,2,3,20,500,300,2197,446
168,127,1,4,0,0,200,2041,557
169,128,2,3,20,500,300,2291,890
171,129,1,4,0,0,200,2416,539
172,130,2,3,30,500,500,2103,872
173,131,2,3,20,500,300,2353,705
174,132,1,4,0,0,200,2228,650
176,133,1,4,0,0,200,2025,1316
177,134,1,2,0,0,200,2275,1094
178,135,1,2,0,0,200,2150,1427
179,136,2,3,30,500,500,2400,1261
