vertex,(posx),(posy)
5,312,277
0,0,0
10,156,870
12,93,648
20,78,1185
23,453,1296
30,234,1623
28,109,1845
32,7,2290
35,382,2234
41,789,327
42,664,104
55,960,839
49,773,975
60,617,1061
58,679,1450
64,503,1876
69,816,1598
76,597,2469
78,722,2080
85,1332,448
83,1394,170
95,1488,818
88,1050,893
100,1074,1355
98,1136,1263
105,1292,1578
104,1042,1800
115,1402,2405
119,1464,2220
120,1558,164
127,1996,368
134,1689,757
129,1751,646
140,1595,1288
143,1970,1232
151,1955,1936
146,1642,1713
158,1736,2306
159,1986,2084
161,2259,251
167,2447,279
175,2478,983
170,2166,724
181,2337,1353
180,2087,1020
188,2119,1742
186,2181,1576
193,2255,2458
195,2380,2069
