start,end,weight
0,2,1
0,6,1
1,2,1
1,4,1
1,5,1
1,7,1
1,9,1
2,5,1
2,6,1
3,5,1
3,6,1
4,9,1
4,12,1
5,7,1
7,9,1
7,15,1
7,40,1
7,44,1
8,10,1
8,12,1
8,14,1
9,11,1
9,12,1
9,15,1
10,12,1
10,13,1
10,14,1
10,18,1
11,14,1
11,15,1
11,40,1
11,48,1
12,14,1
13,14,1
13,18,1
13,21,1
13,52,1
14,18,1
15,40,1
15,48,1
16,20,1
16,22,1
16,24,1
17,19,1
17,20,1
17,21,1
17,22,1
17,23,1
18,20,1
18,21,1
19,21,1
19,22,1
19,23,1
19,27,1
19,56,1
21,23,1
21,56,1
22,24,1
22,27,1
22,30,1
23,27,1
23,56,1
24,26,1
24,30,1
25,26,1
25,28,1
25,29,1
25,31,1
25,33,1
25,64,1
26,28,1
26,29,1
26,30,1
27,29,1
27,30,1
28,36,1
29,30,1
29,64,1
31,39,1
31,64,1
31,68,1
31,70,1
31,72,1
32,34,1
32,36,1
32,38,1
33,35,1
33,36,1
33,38,1
33,39,1
34,37,1
34,38,1
35,37,1
35,38,1
35,39,1
36,38,1
37,38,1
39,72,1
39,74,1
40,44,1
40,46,1
40,48,1
40,54,1
41,43,1
41,44,1
41,46,1
41,47,1
41,54,1
41,80,1
42,44,1
42,45,1
43,46,1
43,47,1
43,51,1
43,54,1
43,80,1
44,46,1
45,47,1
45,84,1
46,54,1
47,80,1
47,82,1
47,84,1
47,86,1
48,50,1
48,54,1
49,50,1
49,52,1
49,53,1
49,55,1
49,57,1
49,60,1
49,63,1
50,52,1
50,53,1
51,53,1
51,54,1
51,92,1
52,60,1
53,55,1
55,63,1
55,88,1
55,92,1
56,60,1
56,62,1
57,59,1
57,60,1
57,62,1
57,63,1
57,96,1
58,61,1
58,62,1
58,66,1
58,69,1
59,61,1
59,62,1
59,63,1
59,96,1
59,98,1
59,100,1
60,62,1
61,62,1
61,69,1
61,100,1
63,88,1
63,96,1
63,102,1
64,68,1
64,70,1
64,72,1
65,66,1
65,68,1
65,69,1
65,70,1
65,71,1
66,68,1
66,69,1
67,70,1
67,71,1
67,75,1
67,78,1
67,104,1
68,70,1
68,72,1
69,71,1
70,72,1
