vertex,name,kc,maxl,cpu,ram,bw,(posx),(posy)
1,0,2,3,20,500,300,75,100
3,1,2,3,20,500,300,112,33
5,2,1,4,0,0,200,93,83
6,3,1,4,0,0,200,56,16
7,4,2,3,20,500,300,131,116
9,5,1,4,0,0,200,84,11
10,6,2,3,30,500,500,46,111
11,7,2,3,30,500,500,121,61
13,8,1,2,0,0,200,103,144
14,9,1,4,0,0,200,65,94
16,10,1,2,0,0,200,4,127
18,11,2,3,20,500,300,42,5
20,12,2,3,30,500,500,23,55
21,13,2,3,20,500,300,98,38
22,14,2,3,20,500,300,60,138
24,15,2,3,30,500,500,14,22
25,16,1,2,0,0,200,89,122
26,17,1,4,0,0,200,51,72
28,18,2,3,20,500,300,32,103
29,19,1,2,0,0,200,107,53
31,20,2,3,20,500,300,145,137
33,21,2,3,20,500,300,77,20
35,22,2,3,30,500,500,114,70
36,23,1,4,0,0,200,21,14
37,24,2,3,20,500,300,96,114
39,25,2,3,30,500,500,133,48
40,26,1,2,0,0,200,11,148
41,27,1,4,0,0,200,86,98
43,28,1,4,0,0,200,124,131
44,29,2,3,30,500,500,30,81
46,30,1,2,0,0,200,67,109
47,31,1,2,0,0,200,142,59
50,32,2,3,30,500,500,44,92
51,33,1,2,0,0,200,119,25
52,34,2,3,20,500,300,25,125
54,35,2,3,30,500,500,63,1
55,36,2,3,30,500,500,138,101
56,37,2,3,30,500,500,16,51
58,38,2,3,30,500,500,53,135
59,39,1,4,0,0,200,128,85
