vertex,(posx),(posy)
3,375,111
5,312,277
10,156,870
11,406,703
17,265,1259
13,343,1481
22,203,1962
21,328,1629
29,359,2179
27,421,2012
35,882,234
32,507,290
39,945,660
41,789,827
43,914,1438
45,851,1030
49,773,1975
53,835,1753
59,929,2283
55,960,2339
61,1367,395
64,1003,376
71,1441,765
68,1066,820
72,1035,1024
74,1160,1191
81,1269,1504
78,1222,1580
85,1332,2448
87,1457,2059
93,1863,152
92,1613,207
97,1761,930
98,1636,763
107,1917,1244
103,1949,1467
113,1777,1794
108,1605,1516
119,1964,2220
115,1902,2405
122,2183,331
120,2058,164
127,2496,868
129,2251,646
134,2189,1257
135,2439,1010
139,2408,1954
140,2095,1788
145,2267,2380
146,2142,2213
