start,end,weight
0,2,1
0,6,1
1,2,1
1,4,1
1,5,1
1,9,1
2,5,1
2,6,1
3,5,1
3,6,1
3,32,1
4,9,1
4,12,1
5,32,1
7,11,1
7,13,1
7,15,1
7,40,1
8,10,1
8,12,1
9,11,1
9,12,1
10,12,1
10,13,1
10,18,1
11,36,1
13,15,1
13,18,1
13,40,1
13,48,1
14,16,1
14,17,1
14,19,1
14,20,1
15,40,1
15,42,1
15,44,1
15,48,1
16,20,1
16,24,1
17,19,1
17,20,1
18,20,1
19,27,1
19,44,1
19,48,1
21,23,1
21,26,1
21,27,1
22,25,1
22,26,1
23,25,1
23,50,1
23,52,1
24,26,1
25,26,1
28,32,1
28,34,1
28,36,1
29,30,1
29,33,1
29,56,1
30,33,1
31,39,1
31,58,1
31,66,1
32,34,1
34,36,1
35,37,1
35,38,1
35,39,1
35,41,1
35,64,1
35,68,1
36,38,1
37,38,1
37,41,1
37,45,1
37,64,1
38,41,1
39,41,1
39,64,1
39,66,1
39,68,1
40,42,1
40,48,1
41,45,1
41,64,1
42,44,1
42,45,1
42,48,1
43,46,1
43,47,1
43,51,1
43,54,1
43,76,1
44,46,1
44,48,1
45,47,1
45,64,1
45,72,1
46,54,1
47,72,1
47,74,1
49,50,1
49,52,1
49,53,1
49,55,1
50,52,1
50,53,1
51,53,1
51,54,1
51,76,1
51,80,1
53,55,1
53,80,1
55,80,1
55,82,1
56,60,1
56,62,1
57,59,1
57,60,1
57,62,1
58,61,1
58,62,1
58,66,1
58,69,1
59,61,1
59,62,1
59,84,1
59,88,1
60,62,1
61,62,1
61,63,1
61,69,1
61,88,1
61,96,1
63,69,1
63,88,1
63,92,1
63,96,1
64,68,1
64,72,1
65,66,1
65,68,1
65,69,1
66,68,1
66,69,1
67,75,1
68,72,1
69,96,1
70,73,1
70,74,1
70,76,1
70,78,1
70,81,1
71,73,1
71,75,1
71,98,1
71,100,1
71,104,1
72,74,1
73,74,1
73,76,1
73,78,1
73,81,1
75,104,1
76,78,1
76,81,1
77,79,1
77,82,1
77,83,1
78,81,1
78,83,1
79,106,1
80,82,1
81,83,1
84,86,1
84,89,1
84,90,1
85,86,1
85,89,1
85,93,1
86,88,1
86,89,1
86,90,1
87,89,1
88,96,1
89,90,1
91,93,1
91,94,1
91,95,1
91,97,1
91,99,1
92,96,1
93,95,1
94,97,1
94,99,1
94,101,1
94,102,1
95,99,1
97,99,1
97,102,1
98,100,1
98,101,1
98,102,1
98,104,1
99,101,1
99,102,1
100,104,1
100,108,1
101,102,1
102,104,1
103,105,1
103,111,1
104,108,1
105,107,1
105,108,1
105,110,1
105,111,1
106,109,1
106,110,1
107,109,1
107,110,1
107,111,1
108,110,1
109,110,1
