vertex,name,kc,maxl,cpu,ram,bw,(posx),(posy)
1,1,2,3,30,500,500,250,333
2,2,1,2,0,0,200,125,166
3,3,2,3,20,500,300,375,111
4,4,2,3,30,500,500,62,444
6,5,2,3,30,500,500,187,55
7,6,2,3,30,500,500,437,888
8,7,2,3,30,500,500,31,722
9,8,1,4,0,0,200,281,537
10,9,1,2,0,0,200,156,870
13,10,1,4,0,0,200,343,981
14,11,2,3,30,500,500,218,1314
17,12,1,4,0,0,200,265,1259
18,13,2,3,20,500,300,140,1018
19,14,1,2,0,0,200,390,1351
20,15,2,3,20,500,300,78,1185
22,16,1,4,0,0,200,203,1962
24,17,1,2,0,0,200,46,1574
25,18,1,4,0,0,200,296,1907
26,19,1,2,0,0,200,171,1740
27,20,2,3,30,500,500,421,1512
28,21,1,2,0,0,200,609,345
29,22,2,3,20,500,300,859,179
31,23,2,3,20,500,300,984,456
32,24,1,2,0,0,200,507,290
33,25,1,4,0,0,200,757,67
37,26,1,2,0,0,200,820,882
38,27,1,4,0,0,200,695,716
39,28,2,3,30,500,500,945,660
40,29,2,3,20,500,300,539,993
41,30,1,4,0,0,200,789,827
42,31,1,4,0,0,200,664,1104
44,32,1,2,0,0,200,601,1271
45,33,1,4,0,0,200,851,1030
46,34,2,3,20,500,300,726,1364
48,35,2,3,20,500,300,523,1141
49,36,1,2,0,0,200,773,1975
50,37,2,3,20,500,300,648,1808
51,38,2,3,20,500,300,898,1586
52,39,1,4,0,0,200,585,1919
54,40,1,2,0,0,200,710,1506
57,41,2,3,20,500,300,1304,117
59,42,2,3,20,500,300,1429,283
60,43,1,4,0,0,200,1117,61
61,44,2,3,30,500,500,1367,395
62,45,2,3,20,500,300,1242,228
63,46,1,2,0,0,200,1492,543
65,47,1,4,0,0,200,1253,709
67,48,1,4,0,0,200,1378,987
68,49,1,4,0,0,200,1066,820
69,50,2,3,20,500,300,1316,598
71,51,1,2,0,0,200,1441,1265
72,52,2,3,20,500,300,1035,1024
73,53,2,3,30,500,500,1285,1358
74,54,1,4,0,0,200,1160,1191
75,55,1,4,0,0,200,1410,1135
77,56,1,2,0,0,200,1347,1802
79,57,1,2,0,0,200,1472,1913
81,58,1,2,0,0,200,1269,1504
82,59,2,3,20,500,300,1144,1837
83,60,1,4,0,0,200,1394,1670
84,61,1,4,0,0,200,1582,115
85,62,2,3,30,500,500,1832,448
86,63,2,3,20,500,300,1707,281
88,64,1,2,0,0,200,1550,393
90,65,1,2,0,0,200,1675,41
91,66,1,2,0,0,200,1925,874
92,67,2,3,30,500,500,1613,707
94,68,2,3,30,500,500,1738,985
95,69,2,3,30,500,500,1988,818
97,70,1,4,0,0,200,1761,930
98,71,1,2,0,0,200,1636,1263
99,72,2,3,20,500,300,1886,1022
100,73,2,3,30,500,500,1574,1355
103,74,1,2,0,0,200,1949,1467
104,75,1,2,0,0,200,1542,1300
105,76,2,3,30,500,500,1792,1578
107,77,2,3,30,500,500,1917,1744
108,78,2,3,20,500,300,1605,1516
109,79,1,2,0,0,200,1855,1849
110,80,1,2,0,0,200,1730,1683
